Address_Town,Education_Sector,School_Type,LGA_Name,X,Y
Warrnambool,Government,Primary,Warrnambool (C),142.48257,-38.37728
Devenish,Government,Primary,Benalla (RC),145.89434,-36.32654
Undera,Government,Primary,Greater Shepparton (C),145.21893,-36.27636
Dederang,Government,Primary,Alpine (S),147.01531,-36.46925
Axe Creek,Government,Primary,Greater Bendigo (C),144.38773,-36.84177
Silvan,Government,Primary,Yarra Ranges (S),145.42132,-37.8246
Wendouree,Government,Primary,Ballarat (C),143.82816,-37.53928
Lancaster,Government,Primary,Campaspe (S),145.13282,-36.31325
Raywood,Government,Primary,Greater Bendigo (C),144.2048,-36.53947
Puckapunyal,Government,Primary,Mitchell (S),145.03351,-37.00263
Landsborough,Government,Primary,Pyrenees (S),143.13591,-37.00586
Lysterfield,Government,Primary,Knox (C),145.27623,-37.9116
Winton,Government,Primary,Benalla (RC),146.08134,-36.51633
Merrigum,Government,Primary,Greater Shepparton (C),145.12966,-36.36932
Bethanga,Government,Primary,Towong (S),147.09576,-36.12064
Abbotsford,Government,Primary,Yarra (C),144.99881,-37.80898
Newtown,Government,Primary,Greater Geelong (C),144.3372,-38.14577
Windsor,Government,Primary,Stonnington (C),144.99569,-37.8573
Narre  Warren  North,Government,Primary,Casey (C),145.31692,-37.97859
Buchan,Government,Primary,East Gippsland (S),148.18082,-37.49774
Anakie,Government,Primary,Greater Geelong (C),144.25511,-37.91267
Moolap,Government,Primary,Greater Geelong (C),144.42431,-38.17096
Footscray,Government,Primary,Maribyrnong (C),144.90025,-37.8064
Newham,Government,Primary,Macedon Ranges (S),144.59476,-37.31215
Mill Park,Government,Primary,Whittlesea (C),145.07694,-37.66973
White Hills,Government,Primary,Greater Bendigo (C),144.30415,-36.72794
Mount Egerton,Government,Primary,Moorabool (S),144.10217,-37.62852
Drouin,Government,Primary,Baw Baw (S),145.85384,-38.13286
Wunghnu,Government,Primary,Moira (S),145.4306,-36.15066
Maroona,Government,Primary,Ararat (RC),142.85847,-37.4328
Jindivick,Government,Primary,Baw Baw (S),145.90113,-38.02762
Talgarno,Government,Primary,Towong (S),147.15915,-36.0658
Bungaree,Government,Primary,Moorabool (S),144.0071,-37.55759
Little River,Government,Primary,Wyndham (C),144.50037,-37.96501
Cowwarr,Government,Primary,Wellington (S),146.69896,-38.0137
South Morang,Government,Primary,Whittlesea (C),145.09467,-37.65287
Bendigo,Government,Primary,Greater Bendigo (C),144.27804,-36.75571
Pyalong,Government,Primary,Mitchell (S),144.85709,-37.11724
Winchelsea,Government,Primary,Surf Coast (S),143.98428,-38.24449
Buln Buln,Government,Primary,Baw Baw (S),145.93817,-38.09935
Soldiers Hill,Government,Primary,Ballarat (C),143.85749,-37.55115
Elliminyt,Government,Primary,Colac-Otway (S),143.5837,-38.36135
Mornington,Government,Primary,Mornington Peninsula (S),145.04309,-38.22181
Hamilton,Government,Primary,Southern Grampians (S),141.99515,-37.72646
Blowhard,Government,Primary,Ballarat (C),143.78644,-37.42924
Creswick,Government,Primary,Hepburn (S),143.89082,-37.40884
Ballarat,Government,Primary,Ballarat (C),143.86978,-37.54984
Brighton,Government,Primary,Bayside (C),144.99611,-37.9221
Castlemaine,Government,Primary,Mount Alexander (S),144.21899,-37.05783
Yarrambat,Government,Primary,Nillumbik (S),145.1331,-37.64124
Casterton,Government,Primary,Glenelg (S),141.4052,-37.58655
Nathalia,Government,Primary,Moira (S),145.20589,-36.05752
Newtown,Government,Primary,Greater Geelong (C),144.34538,-38.15511
Greensborough,Government,Primary,Banyule (C),145.1005,-37.70357
Teesdale,Government,Primary,Golden Plains (S),144.05459,-38.02923
